Correlation_LOW,Treasury_0.25Y,Treasury_0.5Y,Treasury_1.0Y,Treasury_2.0Y,Treasury_3.0Y,Treasury_5.0Y,Treasury_10.0Y,Treasury_15.0Y,Treasury_20.0Y,Treasury_30.0Y,SOFR_0.25Y,SOFR_0.5Y,SOFR_1.0Y,SOFR_2.0Y,SOFR_3.0Y,SOFR_5.0Y,SOFR_10.0Y,SOFR_15.0Y,SOFR_20.0Y,SOFR_30.0Y
SOFR_0.25Y,0.998,0.9389501760299193,0.8260345081719138,0.6195473234484339,0.5386536072738707,0.4237199349456281,0.2997,0.2997,0.2997,0.2997,1.0,0.9408910670970163,0.8278623705424564,0.6211684919403742,0.5391928000739447,0.4241440790246528,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
SOFR_0.5Y,0.9389501760299193,0.998,0.9389501760299193,0.8260345081719138,0.7196945368972656,0.5719620861318873,0.4237199349456281,0.3138994482737935,0.2997,0.2997,0.9408910670970163,1.0,0.9408910670970163,0.8278623705424564,0.7214159528501156,0.5725346207526398,0.4241440790246528,0.31421366193572925,0.30000000000000004,0.30000000000000004
SOFR_1.0Y,0.8260345081719138,0.9389501760299193,0.998,0.9389501760299193,0.8816455381013288,0.7720670325608807,0.5719620861318873,0.4922923297464313,0.4237199349456281,0.3138994482737935,0.8278623705424564,0.9408910670970163,1.0,0.9408910670970163,0.8835290671684974,0.773840873434315,0.5725346207526398,0.49278511486129256,0.4241440790246528,0.31421366193572925
SOFR_2.0Y,0.6195473234484339,0.8260345081719138,0.9389501760299193,0.998,0.9682536553269192,0.9100829687025338,0.7720670325608807,0.6440236467959248,0.5719620861318873,0.4922923297464313,0.6211684919403742,0.8278623705424564,0.9408910670970163,1.0,0.9702238792061253,0.9119949636661999,0.773840873434315,0.6456693161120368,0.5725346207526398,0.49278511486129256
SOFR_3.0Y,0.5386536072738707,0.7196945368972656,0.8816455381013288,0.9682536553269192,0.998,0.9584369492668969,0.8629228521720846,0.7720670325608807,0.6856423035595747,0.5719620861318874,0.5391928000739447,0.7214159528501156,0.8835290671684974,0.9702238792061253,1.0,0.9603973466135105,0.8647876398118965,0.773840873434315,0.6873296331927674,0.5725346207526399
SOFR_5.0Y,0.4237199349456281,0.5719620861318873,0.7720670325608807,0.9100829687025338,0.9584369492668969,0.998,0.9389501760299193,0.8816455381013288,0.8260345081719138,0.7196945368972656,0.4241440790246528,0.5725346207526398,0.773840873434315,0.9119949636661999,0.9603973466135105,1.0,0.9408910670970163,0.8835290671684974,0.8278623705424564,0.7214159528501156
SOFR_10.0Y,0.2997,0.4237199349456281,0.5719620861318873,0.7720670325608807,0.8629228521720846,0.9389501760299193,0.998,0.9682536553269192,0.9389501760299193,0.8816455381013288,0.30000000000000004,0.4241440790246528,0.5725346207526398,0.773840873434315,0.8647876398118965,0.9408910670970163,1.0,0.9702238792061253,0.9408910670970163,0.8835290671684974
SOFR_15.0Y,0.2997,0.3138994482737935,0.4922923297464313,0.6440236467959248,0.7720670325608807,0.8816455381013288,0.9682536553269192,0.998,0.9781195678308379,0.9389501760299193,0.30000000000000004,0.31421366193572925,0.49278511486129256,0.6456693161120368,0.773840873434315,0.8835290671684974,0.9702238792061253,1.0,0.9800996674983362,0.9408910670970163
SOFR_20.0Y,0.2997,0.2997,0.4237199349456281,0.5719620861318873,0.6856423035595747,0.8260345081719138,0.9389501760299193,0.9781195678308379,0.998,0.9682536553269192,0.30000000000000004,0.30000000000000004,0.4241440790246528,0.5725346207526398,0.6873296331927674,0.8278623705424564,0.9408910670970163,0.9800996674983362,1.0,0.9702238792061253
SOFR_30.0Y,0.2997,0.2997,0.3138994482737935,0.4922923297464313,0.5719620861318874,0.7196945368972656,0.8816455381013288,0.9389501760299193,0.9682536553269192,0.998,0.30000000000000004,0.30000000000000004,0.31421366193572925,0.49278511486129256,0.5725346207526399,0.7214159528501156,0.8835290671684974,0.9408910670970163,0.9702238792061253,1.0
